NAME	Other	Non-inflammatory_Macrophage	alpha-beta_T_Cells	Inflammatory_Macrophage	NK-like_Cells	gamma-delta_T_Cells	Mature_B_Cells	Plasma_Cells
CERS2	72.1321271727189	1	1	1	1	1	1	1
CES2	205.135062158569	1	1	1	1	1	1	1
CETP	1	311.645542656263	1	1	1	1	1	1
CFB	110.297142704714	1	1	1	1	1	1	1
CFD	1	324.341431045045	1	346.030485819923	1	1	1	1
CFDP1	58.4175686152334	1	1	1	1	1	1	1
CFH	479.149345266906	1	1	1	1	1	1	1
CFHR1	111.886947158882	1	1	1	1	1	1	1
CFI	229.432010771935	1	1	1	1	1	1	1
CFP	1	336.720440916447	1	210.439177754832	1	1	1	1
CH17.189H20.1	1	1	104.17501325606	1	197.651754570323	130.371897257248	1	1
CHCHD10	735.430522385913	142.309431702839	105.220661692153	175.977793802966	1	1	155.644773880201	338.698110419607
CHCHD5	72.7814014037283	1	1	92.0527519395649	1	1	1	1
CHCHD7	1	1	1	1	1	1	1	75.9625390581024
CHD2	1	1	65.9967407925021	1	80.0054908820177	1	1	1
CHD9	1	1	1	1	75.4953733436658	1	1	1
CHID1	1	94.3769551365612	1	1	1	1	1	1
CHMP1B	1	1	1	97.5331715257879	88.8445161507272	1	120.665586745792	1
CHMP3	1	95.8116177658713	1	82.1401070624978	1	1	1	1
