NAME	Other	Kupffer cells	TM1	SAMs	T cells	cDC2	cDC1	B cells
CD46	196.717231861935	1	1	1	1	1	1	1
CD47	1	1	1	1	1	206.285355630629	168.600628840317	1
CD48	1	1	311.574053856439	1	686.931019975519	209.00836944289	531.211812322437	192.892330291745
CD52	1	1	1198.18913011566	323.010793117344	1005.14107786486	344.208042173559	570.79861953628	1
CD55	1	1	781.562175176477	1	1	209.866868342615	278.756365024513	320.788248385567
CD59	1008.24128666449	404.533013247145	1	279.047465559769	1	1	212.433813609441	410.095915451941
CD5L	1	2300.63899152593	1	1	1	1	1	1
CD69	1	1	1	1	1139.96634044233	1	1	1
CD7	1	1	1	1	679.607535911207	1	1	1
CD79A	1	1	1	1	1	1	1	945.303292289031
CD83	1	463.520126861781	719.095382136218	601.051215250156	1	986.463262961996	998.074257224304	1
CD84	1	498.811355206254	1	451.297156817035	1	243.70193863513	1	1
CD86	1	295.6637052103	277.580028444211	240.536935019414	1	324.666771408247	174.02707998572	1
CD9	642.230358766419	1	1	577.142998893461	1	1	1	1
CD93	1	1	281.615272186835	1	1	174.033210693697	1	1
CD96	1	1	1	1	275.138472605697	1	1	1
CD99	413.611191556286	1	1	324.171615683513	336.332257789952	1	1	211.77554329394
CDC42	261.123554672124	1	435.554098168441	344.14065209383	220.918830209923	356.784334366011	140.839053502789	1
CDC42SE1	1	1	1	1	276.835322025885	1	1	1
CDC42SE2	1	1	1	1	448.524297710718	194.390765445485	159.559985625204	1
CDH1	177.794440484874	1	1	1	1	1	1	1
CDK2AP2	1	1	1	1	1	1	171.80811099955	1
CDKN1A	421.151473212747	1	768.012101448184	444.395914679643	1	701.765417745209	182.420888110946	345.431051063525
CEBPB	224.343183784214	669.396784275059	990.527073657186	590.359491508833	1	476.244743024161	1	1
CEBPD	552.990795001931	1150.36083696664	1061.08914845223	1127.04049463638	1	1199.68569221341	229.550289962914	1
CELF1	1	1	1	1	1	1	103.482919396797	1
CELF2	1	1	1	243.03593523557	448.114938824416	338.440988884971	123.847520208453	1
CERS2	414.869503330592	1	1	1	1	1	197.984895327168	1
CETP	1	801.672346272859	1	1	1	1	1	1
CFD	1	933.306043185826	268.336101996072	288.21814263344	1	1	1	1
CFH	482.332705495404	1	1	1	1	1	1	1
CFI	205.789335811235	1	1	1	1	1	1	1
CFP	1	232.024425357055	1	1	1	1	1	1
CHCHD10	302.506664009216	278.642526370836	1	422.614383899576	1	203.075305716113	76.3586089124501	301.936789622384
CHD1	1	1	343.141670196619	1	1	1	1	1
CHD4	230.791282179238	1	1	1	1	1	1	1
CHMP2A	231.672046200163	1	1	1	1	1	1	338.232234265745
CHMP3	261.008862056855	1	1	1	1	1	1	1
CHP1	189.845416682529	1	1	1	1	1	1	1
CHST11	1	1	1	1	1	214.982286652876	1	1
CHST12	1	1	1	1	1	1	1	1950.1409263652
CIB1	1	1	1	1	1	245.333791910194	229.094856548115	1
CIITA	1	1	1	1	1	1	174.012373340582	1
CIRBP	266.033965612395	1	1	211.851733184949	245.306450941662	232.096845739202	1	347.707601224415
CITED2	1	1	1	1	334.508162855517	1	1	429.80925476821
CKAP4	1	1	1	1	1	1	1	485.430976018161
CKLF	1	1	1	227.153396228042	1	305.514445365793	238.677583264464	1
CKS2	1	1	1	1	1	1	154.834759264631	1
CLDN1	328.526804038604	1	1	1	1	1	1	1
CLDN10	238.544104674502	1	1	1	1	1	1	1
CLEC10A	1	1	1	1	1	555.431210705618	1	1
CLEC2B	1	1	1	1	1	1	196.634633504683	1
CLEC4E	1	1	519.685673073577	1	1	1	1	1
CLEC6A	1	1	1	1	1	159.53476908153	1	1
CLEC7A	1	1	321.123902218838	215.319059133875	1	264.612389228364	123.096881365139	1
CLEC9A	1	1	1	1	1	1	941.026761376079	1
CLIC2	1	1	1	1	1	1	189.131433220363	1
CLK1	1	1	1	1	374.986517219521	235.85308491572	277.97156136539	170.538716682606
CLNS1A	1	1	1	1	1	1	157.196270534727	1
CLPTM1L	1	1	1	1	1	1	1	441.074325131918
CLSTN1	1	1	1	1	1	1	317.151461678317	1
CLTA	233.942116116248	274.112436773482	1	215.355889122669	1	1	1	1
CLTC	303.691314621936	316.952738290558	278.002607020139	248.194235780331	1	204.353975492135	1	1
CLU	1124.42579817977	1	1	1	1	1	1	1
CMC1	1	1	1	1	397.509738882572	1	1	1
CMIP	1	1	1	1	1	164.331871074955	339.192640849974	1
CMKLR1	1	354.76205512513	1	1	1	1	1	1
CMPK1	228.325952901359	1	1	1	1	218.514804255143	1	1
CMTM3	1	1	1	191.109023401455	1	1	1	1
CMTM6	1	229.6236869269	495.904443713741	409.990903075563	1	397.94530960878	292.171527548085	1
CNDP2	1	303.566409059672	1	312.551014159465	1	254.659346134904	289.970500493952	1
CNN2	1	1	232.606992655202	1	388.470723990446	327.986665405716	559.51067683023	1
CNOT6L	1	1	1	1	453.984769483514	1	1	1
CNPY3	1	1	1	296.437682627856	1	224.29184125778	160.391454506948	1
COL18A1	482.028439118416	1	1	1	1	1	1	1
COL1A1	2784.5647794673	1	1	1	1	1	1	1
COL1A2	2161.88281709267	1	1	1	1	1	1	1
COL3A1	2395.22301879316	1	1	1	1	1	1	1
COL4A1	913.556105809355	1	1	1	1	1	1	1
COL4A2	868.939191438708	1	1	1	1	1	1	1
COLGALT1	1	250.835717321072	1	1	1	1	1	1
COMMD1	1	1	1	1	292.015597022923	248.290856986037	99.5393148436698	175.994816209777
COMMD3	1	1	1	1	1	1	1	176.959198022625
COMMD6	272.104082078455	1	365.309728967711	212.203515931548	388.288167316414	415.539835576279	266.166853943228	1
COMT	180.376360166856	334.721291071884	1	1	1	1	1	1
COPA	190.427767123579	1	1	1	1	1	1	1
COPE	1	1	1	1	1	1	185.591226571761	342.363280228324
COPRS	953.368608685006	1	905.063572147273	1034.19841146172	1	1393.5549083542	1	3214.22503411369
COPS9	186.825054219178	1	1	1	1	243.340769760736	623.803531980123	394.434165730121
CORO1A	1	1	463.858624598737	238.787975776873	762.306604377314	318.78264538195	332.604528608711	1
CORO1B	1	1	1	1	688.994838027063	1	1	1
COTL1	1	267.159787923418	1583.68682994743	680.001408042432	235.446449130499	974.296673609928	1232.45317970955	1
COX5A	239.719532053485	1	1	219.77819522332	1	239.65619298879	263.068693703985	246.635719504005
COX7A2	550.320058971202	224.428333854421	1	351.589575087962	1	228.414528247238	188.485760902125	553.218420021455
COX7B	351.325167759222	1	261.573519183526	281.651431349484	1	161.79946321509	235.460653710362	179.714165610466
CPEB4	1	1	1	1	1	1	1	234.489080518519
CPM	1	656.00632126204	1	635.841058892065	1	1	1	1
CPNE1	1	1	1	1	288.035587641617	1	146.968974762482	1
CPNE3	1	1	1	1	1	1	1081.87679149442	1
CPNE5	1	1	1	1	1	1	1	206.229468616243
CPPED1	1	1	1	1	1	1	244.346552453624	1
CPSF7	1	1	1	1	1	1	385.810844466419	1
